basket,n,term_m,prot_bar,coupon,status
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.6,28.8,ok
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.6,29.3,ok
PM/DELL/CRM/LLY/ORCL/UNH,6,36,0.7,12.7,ok
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.6,8.9,ok
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.6,19.3,ok
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.6,29.7,ok
V/MA/PG/MCD/WMT,5,24,0.8,12.7,ok
SPOT/T/OKTA/CRM,4,24,0.65,13.6,ok
DVN/BAC/BLDR/ETHA/TLT,5,36,0.7,37.5,ok
PDD/VZ/PEP/MBLY/TSLA/NFLX,6,60,0.6,20.7,ok
NFLX/T/PEP/UNH/DELL/LLY,6,60,0.7,35.5,ok
NFLX/T/PEP/UNH/DELL/LLY,6,60,0.7,36.2,ok
V/MA/PG/MCD/WMT,5,24,0.8,12.7,ok
NFLX/UNH/AMD/DELL/T/PEP,6,24,0.7,16.8,ok
T/MOS/PEP/ADBE/TSLA/GOLD,6,60,0.65,12.0,ok
AMZN/AMD/NFLX/PEP/LLY/T,6,60,0.7,42.8,ok
AMZN/AMD/NFLX/PEP/LLY/T,6,60,0.7,45.4,ok
NFLX/CRWD/DELL/T,4,24,0.65,18.3,ok
UBER/VZ/TEAM/MOS/PEP/T,6,60,0.6,11.2,ok
MBLY/MDB/CHTR/ORCL/PINS/OKTA,6,60,0.6,27.6,ok
NVDA/AVGO/ORCL/INTC/AMD/MU,6,60,0.6,8.7,ok
APA/NET/DKNG/ZG/SHOP/XPEV,6,60,0.6,24.4,ok
NVDA/AVGO/ORCL/INTC/AMD/MU,6,60,0.6,26.9,ok
NVDA/AVGO/ORCL/INTC/AMD/MU,6,60,0.6,30.7,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,4.8,ok
NVDA/AVGO/ORCL/INTC/AMD/MU,6,60,0.6,39.2,ok
NVDA/AVGO/ORCL/INTC/AMD/MU,6,60,0.6,42.2,ok
NVDA/AVGO/ORCL/INTC/AMD/MU,6,60,0.65,46.9,ok
MBLY/APA/CHTR/ORCL/PINS/OKTA,6,60,0.6,30.8,ok
NVDA/AVGO/ORCL/MSFT/AMD/INTC,6,60,0.65,39.4,ok
NVDA/AVGO/ORCL/MSFT/INTC/MU,6,60,0.65,45.1,ok
NVDA/AVGO/ORCL/MSFT/AMD/MU,6,60,0.65,39.3,ok
NVDA/AVGO/ORCL/MSFT/INTC/MU,6,48,0.65,47.1,ok
NVDA/AVGO/ORCL/MSFT/AMD/MU,6,60,0.65,39.3,ok
MBLY/NOW/CHTR/ORCL/PINS/OKTA,6,60,0.6,23.1,ok
NVDA/AVGO/ORCL/MSFT/AMD/AMZN,6,48,0.65,29.9,ok
MDB/NET/DKNG/ZG/SHOP/XPEV,6,60,0.6,20.0,ok
NVDA/AVGO/ORCL/MSFT/AMD/MU,6,48,0.65,45.3,ok
ORCL/MSFT,2,12,0.6,14.4,ok
ORCL/MSFT,2,12,0.6,15.5,ok
ORCL/MSFT,2,12,0.65,20.1,ok
GOOG/AMZN/MSFT,3,12,0.65,9.8,ok
GOOG/ORCL/MSFT,3,12,0.65,27.6,ok
GOOG/ORCL/MSFT,3,12,0.7,45.2,ok
ORCL/MSFT,2,12,0.7,32.3,ok
ORCL/MSFT,2,12,0.75,31.7,ok
MDB/NET/MBLY/ZG/SHOP/XPEV,6,60,0.6,23.3,ok
MDB/NET/MBLY/ZG/SHOP/XPEV,6,60,0.6,23.3,ok
NOW/CHTR/ORCL/PINS/OKTA/DKNG,6,60,0.6,15.9,ok
GOOG/ORCL/TSLA/NBIS/AMZN/IBIT,6,36,0.6,15.4,ok
GOOG/ORCL/TSLA/NBIS/AMZN/IBIT,6,60,0.6,8.2,ok
ORCL/TSLA/NBIS/AMZN/IBIT/SLV,6,36,0.6,16.0,ok
ORCL/TSLA/NBIS/AMZN/IBIT/SLV,6,60,0.6,8.7,ok
CF/CHTR/LW/MOS/SHOP/ZG,6,60,0.6,44.4,ok
BABA/BKNG/DT/LI/MOS/ZG,6,36,0.6,43.8,ok
BABA/BKNG/DT/LI/MOS/ZG,6,36,0.6,43.8,ok
MDB/MRVL/TEAM,3,48,0.65,51.6,ok
MBLY/MDB/MRVL/NIO/ROKU/TEAM,6,36,0.6,23.5,ok
CHTR/LW/MOS/NIO/PDD/XPEV,6,36,0.6,45.4,ok
NET/NOW/ORCL/OKTA/ZG/XPEV,6,60,0.6,13.9,ok
MDB/MBLY/CHTR/PINS/DKNG/SHOP,6,60,0.6,25.5,ok
MDB/MBLY/CHTR/PINS/DKNG/SHOP,6,60,0.6,5.9,ok
HPQ/CRM/AAL/NOK/MDB/NOW,6,12,0.55,16.3,ok
MU/ZS/NIO/NOK/MDB/NOW,6,12,0.55,20.0,ok
HPQ/TER/AAL/NOK/MDB/NOW,6,12,0.55,22.7,ok
MU/ZS/NIO/NOK/MDB/NOW,6,12,0.55,28.5,ok
MU/TER/AAL/NOK/MDB/NOW,6,12,0.55,26.6,ok
MU/TER/NIO/NOK/MDB/NOW,6,12,0.55,30.3,ok
MU/MRVL/NIO/NOK/MDB/NOW,6,12,0.55,31.6,ok
MU/TEAM/NIO/NOK/MDB/NOW,6,12,0.55,29.2,ok
NICE/CRWD/MBLY/PINS/NET/OKTA,6,12,0.55,12.7,ok
